index,x,y,z,xn,yn,zn,error
0,14.380682,4.613756,-1.799970,-0.029528,0.936736,0.348790,10.074969
1,14.676564,4.208267,-0.934905,0.029577,0.735147,0.677262,8.942063
2,14.852513,3.413835,-0.409174,0.061927,0.276126,0.959124,7.502659
3,14.962047,2.393525,-0.343014,0.090157,-0.133477,0.986943,6.338300
4,15.164682,1.493404,-0.875006,0.152555,-0.580904,0.799548,7.818166
5,15.300826,0.981482,-1.751448,0.177358,-0.924397,0.337689,8.740594
6,15.480739,0.844668,-2.660273,0.133356,-0.988151,-0.075983,9.643514
7,15.638901,0.984080,-3.694367,0.114052,-0.846268,-0.520406,15.408653
8,15.788921,1.601404,-4.431266,0.068549,-0.647912,-0.758625,15.301381
9,15.901020,2.609438,-4.738704,0.028781,-0.191421,-0.981086,8.019808
10,15.901731,3.591813,-4.571362,-0.003229,0.378920,-0.925424,10.557392
11,15.983154,4.408804,-3.968057,-0.044455,0.782284,-0.621333,10.069660
12,16.033038,4.836704,-3.096549,-0.067077,0.976621,-0.204235,7.730248
13,16.130520,4.832791,-2.056929,-0.033772,0.951727,0.305082,11.709295
14,16.288421,4.425496,-1.167622,0.011466,0.696060,0.717892,11.174437
15,16.480561,3.636046,-0.566377,0.030387,0.309796,0.950317,7.032970
16,16.772015,2.620268,-0.623198,0.094955,-0.236385,0.967009,11.569296
17,16.864793,1.771216,-1.138828,0.185490,-0.620598,0.761874,7.885285
18,17.118861,1.266731,-1.999023,0.167765,-0.934595,0.313668,8.650192
19,17.317008,1.161377,-2.999512,0.158481,-0.958969,-0.235080,11.466700
20,17.375741,1.503101,-3.943678,0.140014,-0.726540,-0.672708,5.340637
21,17.450518,2.287650,-4.563977,0.101587,-0.397033,-0.912165,5.010054
22,17.480832,3.301050,-4.635340,0.061515,0.178442,-0.982026,10.962590
23,17.449935,4.233396,-4.196774,-0.006313,0.599458,-0.800382,8.935712
24,17.510686,4.850213,-3.424289,-0.055484,0.905907,-0.419827,12.998517
25,17.636882,4.971720,-2.407524,-0.065313,0.996212,0.057413,10.357559
26,17.878913,4.691900,-1.473083,0.003102,0.821703,0.569908,16.402558
27,18.103993,4.013283,-0.754234,0.039805,0.349315,0.936159,4.131258
28,18.393271,3.032248,-0.537414,0.069781,-0.086730,0.993785,9.833649
29,18.660857,2.142439,-1.048593,0.113308,-0.604454,0.788541,3.448769
30,18.790215,1.554474,-1.824251,0.160418,-0.945231,0.284261,16.994922
31,18.947022,1.467556,-2.819635,0.201309,-0.959724,-0.195971,6.703222
32,19.071163,1.781698,-3.765179,0.195588,-0.737601,-0.646290,7.525959
33,19.157647,2.541600,-4.377153,0.170604,-0.432192,-0.885497,6.844916
34,19.162639,3.562576,-4.500418,0.150022,0.135775,-0.979315,12.116905
35,19.196653,4.458666,-3.966767,0.035699,0.575124,-0.817287,11.239627
36,19.256074,5.005108,-3.100191,-0.026465,0.920305,-0.390305,20.678643
37,19.399958,5.042327,-2.114655,-0.046709,0.924740,0.377723,16.494356
38,19.639195,4.599390,-1.188366,-0.035370,0.640923,0.766790,15.256515
39,19.911628,3.823432,-0.634323,0.016063,0.138497,0.990233,9.739873
40,20.170103,2.823363,-0.700546,0.052896,-0.427984,0.902237,4.626768
41,20.408926,2.041317,-1.333511,0.099424,-0.695768,0.711352,4.954775
42,20.599996,1.754993,-2.193316,0.185589,-0.932491,0.309868,16.222182
43,20.683148,1.860035,-3.183918,0.212600,-0.858631,-0.466427,14.350608
44,20.804660,2.476168,-3.979125,0.178920,-0.575200,-0.798206,11.618769
45,20.809724,3.428978,-4.338598,0.113819,0.047021,-0.992388,11.410793
46,20.854683,4.449600,-4.047769,0.051526,0.501764,-0.863469,10.213987
47,20.930389,5.120595,-3.303241,-0.013637,0.864775,-0.501974,21.638835
48,21.051219,5.311688,-2.343946,-0.031961,0.995859,-0.085102,9.062781
49,21.310186,4.759933,-1.561261,-0.001861,0.741921,0.393647,13.625137
50,21.569153,4.208178,-0.778576,0.028239,0.487983,0.872396,18.187494
51,21.787375,3.285923,-0.582613,0.152845,-0.166322,0.974154,9.831790
52,22.009053,2.410870,-1.142341,0.242359,-0.730703,0.638228,4.005657
53,22.193116,2.026958,-2.024652,0.358139,-0.917490,0.173057,18.840279
54,22.291645,2.100045,-3.005070,0.500341,-0.793336,-0.346810,19.490528
55,22.372935,2.754753,-3.785847,0.451802,-0.452000,-0.769136,20.127549
56,22.439322,3.719416,-4.047977,0.442541,-0.010297,-0.896689,15.996396
57,22.502328,4.712414,-3.674553,0.507953,0.518096,-0.688157,9.824030
58,22.544281,5.293568,-2.874878,0.606605,0.757357,-0.241745,16.725812
59,22.566394,5.343201,-1.876844,0.453616,0.852630,0.259336,13.741355
60,22.750938,4.757444,-0.973693,0.466009,0.640661,0.610237,28.622772
61,23.020436,3.924708,-0.537693,0.646323,0.199148,0.736619,21.534508
62,23.248340,2.969495,-0.676608,0.810089,-0.264237,0.523388,11.180272
63,23.519239,2.322997,-1.501702,-0.853101,0.478015,-0.209096,11.262383
64,14.720720,0.942498,-3.228663,0.132390,-0.922617,-0.362286,4.525753
65,14.797096,1.384844,-4.140686,0.078790,-0.714289,-0.695402,14.598234
66,14.866477,2.237891,-4.686066,0.034038,-0.293119,-0.955470,14.937895
67,14.917300,3.284170,-4.717056,-0.003202,0.263897,-0.964546,16.941920
68,15.026153,4.171976,-4.227634,-0.040851,0.699306,-0.713654,12.485839
69,15.101440,4.646530,-3.353787,-0.063683,0.946514,-0.316315,14.321649
70,15.264467,4.784962,-2.370699,-0.037079,0.983961,0.174489,11.375600
71,15.478777,4.552645,-1.391726,0.000583,0.802385,0.596807,7.134376
72,15.637435,3.886058,-0.699163,0.067626,0.388892,0.918798,6.248336
73,15.799550,2.912540,-0.443019,0.080612,-0.012800,0.996663,4.953875
74,15.990329,1.956840,-0.717902,0.108487,-0.394352,0.912533,3.332456
75,16.177853,1.254541,-1.496758,0.152753,-0.825691,0.543048,14.495466
76,16.277736,0.939163,-2.521571,0.186074,-0.980336,-0.065705,10.013561
77,16.456323,1.063450,-3.471320,0.192553,-0.892078,-0.408803,11.932551
78,16.604004,1.696961,-4.307817,0.154769,-0.621664,-0.767842,13.914547
79,16.660463,2.625845,-4.647902,0.113000,-0.131583,-0.984844,6.242508
80,16.703932,3.617259,-4.478579,0.065806,0.374175,-0.925021,13.075501
81,16.768571,4.493066,-3.910739,0.013925,0.772638,-0.634694,10.077054
